Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-09-30 09:14:23.526,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,17,19,19,116,44,0,1,2,2,22,17,0,1,3,0,7,133,0,63
2025-09-30 09:14:23.874,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,17,19,19,116,44,0,1,2,2,22,17,0,1,3,0,7,134,0,63
2025-09-30 09:15:03.425,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,17,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,63
2025-09-30 09:15:03.428,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,63
2025-09-30 09:17:36.095,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,64
2025-09-30 09:17:36.1,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,65
2025-09-30 09:17:36.109,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,66
2025-09-30 09:17:36.115,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,134,0,67
2025-09-30 09:17:36.622,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,25,17,0,1,3,0,7,135,0,67
2025-09-30 09:28:06.511,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,26,17,0,1,3,0,7,135,0,67
2025-09-30 09:28:08.564,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,26,17,0,1,3,0,7,135,0,68
2025-09-30 09:28:09.089,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,26,17,0,1,3,0,7,136,0,68
2025-09-30 09:28:56.119,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,26,17,0,1,3,0,7,137,0,68
2025-09-30 09:30:36.896,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,28,17,0,1,3,0,7,137,0,68
2025-09-30 09:32:09.03,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,17,0,1,3,0,7,137,0,68
2025-09-30 09:32:10.91,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,17,0,1,3,0,7,138,0,68
2025-09-30 09:33:28.757,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,18,0,1,3,0,7,138,0,68
2025-09-30 09:39:19.966,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,18,0,1,3,0,7,138,0,69
2025-09-30 09:39:20.32,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,18,0,1,3,0,7,139,0,69
2025-09-30 09:39:23.016,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,18,0,1,3,0,7,139,0,70
2025-09-30 09:39:23.547,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,18,0,1,3,0,7,140,0,70
2025-09-30 09:45:44.977,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,140,0,70
2025-09-30 09:45:46.874,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,141,0,70
2025-09-30 09:46:09.553,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,142,0,70
2025-09-30 09:47:10.37,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,142,0,73
2025-09-30 09:47:10.899,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,143,0,73
2025-09-30 09:48:08.245,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,143,0,75
2025-09-30 09:48:08.759,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,30,19,0,1,3,0,7,144,0,75
2025-09-30 09:50:09.66,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,31,19,0,1,3,0,7,144,0,75
2025-09-30 09:50:11.051,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,31,19,0,1,3,0,7,144,0,78
2025-09-30 09:50:11.563,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,31,19,0,1,3,0,7,145,0,78
2025-09-30 09:53:26.641,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,32,19,0,1,3,0,7,145,0,78
2025-09-30 09:53:28.879,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,32,19,0,1,3,0,7,146,0,78
2025-09-30 09:57:13.421,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,4,0,2,20,19,19,116,44,0,1,2,2,32,19,0,1,3,0,7,146,0,79
