Action,Name,Points,GameMode,Timestamp
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:14:23.521
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:14:23.859
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-09-30 09:15:03.409
AddTestsAchievement,Safety First,3,ACHIEVEMENTS,2025-09-30 09:15:03.426
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:17:36.094
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:17:36.099
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:17:36.107
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:17:36.113
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:17:36.61
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-09-30 09:28:06.51
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:28:08.562
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:28:09.076
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:28:56.11
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-09-30 09:30:36.895
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-09-30 09:32:09.03
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:32:10.899
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-09-30 09:33:28.757
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:39:19.966
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:39:20.309
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:39:23.015
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:39:23.538
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-09-30 09:45:44.977
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:45:46.864
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:46:09.544
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-09-30 09:47:10.369
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:47:10.889
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-09-30 09:48:08.236
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:48:08.749
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-09-30 09:50:09.659
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-09-30 09:50:11.048
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:50:11.556
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-09-30 09:53:26.64
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:53:28.869
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-09-30 09:57:13.421
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-09-30 09:57:13.423
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 09:57:13.479
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-09-30 10:00:06.485
